time,pd_3,pd_6,pd_7,pd_8,pm_3_1,pm_3_2,pm_3_3,pm_3_4,pm_6_1,pm_6_2,pm_6_3,pm_6_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw
0.17501187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248233,1.229418,0.509143,-0.001114,-0.00158,0.000953,0.999998,0.249024,1.115403,0.453834,0.005125,-0.001686,0.001876,0.999984,0.260109,0.811393,0.537373,-0.002291,0.000404,0.002972,0.999993
0.34298396,2.0,2.0,0.0,2.0,1.6627,1.6739,1.6444,1.6416,0.2691,0.2902,0.2972,0.3056,1.6458,0.1566,0.1762,0.0961,0.1636,0.165,-0.0234,0.0975,0.24824,1.229417,0.509171,-0.001109,-0.001593,0.00095,0.999998,0.249022,1.115406,0.453828,0.005087,-0.001682,0.001884,0.999984,0.260108,0.811393,0.537374,-0.002291,0.000406,0.002976,0.999993
0.3532462,2.0,2.0,0.0,2.0,1.6627,1.6739,1.6444,1.6416,0.2691,0.2902,0.2972,0.3056,1.6458,0.1566,0.1762,0.0961,0.1636,0.165,-0.0234,0.0975,0.248242,1.229417,0.50917,-0.001105,-0.001586,0.000949,0.999998,0.249024,1.115403,0.453827,0.005098,-0.001662,0.001883,0.999984,0.26011,0.811392,0.537373,-0.002292,0.000402,0.00298,0.999993
0.36332464,2.0,2.0,0.0,2.0,1.6627,1.6739,1.6444,1.6416,0.2691,0.2902,0.2972,0.3056,1.6458,0.1566,0.1762,0.0961,0.1636,0.165,-0.0234,0.0975,0.248242,1.229417,0.50917,-0.001105,-0.001586,0.000949,0.999998,0.249024,1.115403,0.453827,0.005098,-0.001662,0.001883,0.999984,0.26011,0.811392,0.537373,-0.002292,0.000402,0.00298,0.999993
0.3746667,2.0,2.0,0.0,2.0,1.6627,1.6739,1.6444,1.6416,0.2691,0.2902,0.2972,0.3056,1.6458,0.1566,0.1762,0.0961,0.1636,0.165,-0.0234,0.0975,0.248241,1.229418,0.509168,-0.001104,-0.001591,0.000947,0.999998,0.249024,1.115405,0.453828,0.00507,-0.001676,0.001874,0.999984,0.260111,0.811393,0.537371,-0.002289,0.000405,0.002981,0.999993
0.38475633,2.0,2.0,0.0,2.0,1.6627,1.6739,1.6444,1.6416,0.2691,0.2902,0.2972,0.3056,1.6458,0.1566,0.1762,0.0961,0.1636,0.165,-0.0234,0.0975,0.248236,1.22942,0.509146,-0.001108,-0.001576,0.000953,0.999998,0.24902,1.115408,0.453829,0.005078,-0.001692,0.00186,0.999984,0.260115,0.811392,0.537373,-0.002291,0.000401,0.002985,0.999993
0.3951795,2.0,2.0,0.0,2.0,1.6627,1.6739,1.6444,1.6416,0.2691,0.2902,0.2972,0.3056,1.6458,0.1566,0.1762,0.0961,0.1636,0.165,-0.0234,0.0975,0.248236,1.22942,0.509146,-0.001108,-0.001576,0.000953,0.999998,0.24902,1.115408,0.453829,0.005078,-0.001692,0.00186,0.999984,0.260115,0.811392,0.537373,-0.002291,0.000401,0.002985,0.999993
0.405797,2.0,2.0,0.0,2.0,1.6627,1.6739,1.6444,1.6416,0.2691,0.2902,0.2972,0.3056,1.6458,0.1566,0.1762,0.0961,0.1636,0.165,-0.0234,0.0975,0.248241,1.229418,0.509168,-0.001111,-0.001591,0.000948,0.999998,0.249024,1.115407,0.453827,0.005114,-0.001666,0.001861,0.999984,0.260115,0.811394,0.53737,-0.002289,0.000401,0.002996,0.999993
0.41605544,2.0,2.0,0.0,2.0,1.6627,1.6739,1.6444,1.6416,0.2691,0.2902,0.2972,0.3056,1.6458,0.1566,0.1762,0.0961,0.1636,0.165,-0.0234,0.0975,0.248237,1.229415,0.509143,-0.001109,-0.00158,0.000954,0.999998,0.249019,1.115404,0.453826,0.005084,-0.001667,0.001871,0.999984,0.260068,0.811411,0.537341,-0.002375,0.000322,0.00302,0.999993
0.4262669,2.0,2.0,0.0,2.0,1.6627,1.6739,1.6444,1.6416,0.2691,0.2902,0.2972,0.3056,1.6458,0.1566,0.1762,0.0961,0.1636,0.165,-0.0234,0.0975,0.248237,1.229415,0.509143,-0.001109,-0.00158,0.000954,0.999998,0.249019,1.115404,0.453826,0.005084,-0.001667,0.001871,0.999984,0.260068,0.811411,0.537341,-0.002375,0.000322,0.00302,0.999993
