time,pd_3,pd_6,pd_7,pd_8,pm_3_1,pm_3_2,pm_3_3,pm_3_4,pm_6_1,pm_6_2,pm_6_3,pm_6_4,pm_7_1,pm_7_2,pm_7_3,pm_7_4,pm_8_1,pm_8_2,pm_8_3,pm_8_4,mocap_1_x,mocap_1_y,mocap_1_z,mocap_1_qx,mocap_1_qy,mocap_1_qz,mocap_1_qw,mocap_2_x,mocap_2_y,mocap_2_z,mocap_2_qx,mocap_2_qy,mocap_2_qz,mocap_2_qw,mocap_3_x,mocap_3_y,mocap_3_z,mocap_3_qx,mocap_3_qy,mocap_3_qz,mocap_3_qw
0.20391273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242734,1.229801,0.507865,-0.001691,-0.002658,0.002753,0.999991,0.243877,1.115836,0.45274,0.005842,-0.002878,0.003672,0.999972,0.257875,0.813723,0.531827,0.01324,0.001279,0.013077,0.999826
0.3706863,2.0,2.0,0.0,2.0,1.0214,1.0355,1.0017,0.9905,0.2747,0.2902,0.2916,0.3056,1.0045,0.1692,0.1945,0.1073,0.1777,0.1805,-0.0263,0.0877,0.242734,1.229801,0.507865,-0.001691,-0.002658,0.002753,0.999991,0.243877,1.115836,0.45274,0.005842,-0.002878,0.003672,0.999972,0.257875,0.813723,0.531827,0.01324,0.001279,0.013077,0.999826
0.3808508,2.0,2.0,0.0,2.0,1.0214,1.0355,1.0017,0.9905,0.2747,0.2902,0.2916,0.3056,1.0045,0.1692,0.1945,0.1073,0.1777,0.1805,-0.0263,0.0877,0.242729,1.229799,0.507867,-0.001692,-0.002655,0.002752,0.999991,0.243892,1.115828,0.452752,0.005801,-0.002813,0.003682,0.999972,0.257867,0.813728,0.531823,0.013246,0.001282,0.013094,0.999826
0.39097238,2.0,2.0,0.0,2.0,1.0214,1.0355,1.0017,0.9905,0.2747,0.2902,0.2916,0.3056,1.0045,0.1692,0.1945,0.1073,0.1777,0.1805,-0.0263,0.0877,0.242732,1.229801,0.507867,-0.001694,-0.002659,0.002749,0.999991,0.24389,1.11583,0.452751,0.005793,-0.00285,0.003703,0.999972,0.257874,0.813727,0.531829,0.013238,0.001269,0.013086,0.999826
0.40852547,2.0,2.0,0.0,2.0,1.0214,1.0355,1.0017,0.9905,0.2747,0.2902,0.2916,0.3056,1.0045,0.1692,0.1945,0.1073,0.1777,0.1805,-0.0263,0.0877,0.242734,1.229801,0.507867,-0.00169,-0.002655,0.002754,0.999991,0.243891,1.115829,0.452758,0.005846,-0.002786,0.003734,0.999972,0.257875,0.813725,0.531825,0.01324,0.001277,0.013093,0.999826
0.41913772,2.0,2.0,0.0,2.0,1.0214,1.0355,1.0017,0.9905,0.2747,0.2902,0.2916,0.3056,1.0045,0.1692,0.1945,0.1073,0.1777,0.1805,-0.0263,0.0877,0.242734,1.229801,0.507867,-0.00169,-0.002655,0.002754,0.999991,0.243891,1.115829,0.452758,0.005846,-0.002786,0.003734,0.999972,0.257875,0.813725,0.531825,0.01324,0.001277,0.013093,0.999826
0.42922902,2.0,2.0,0.0,2.0,1.0214,1.0355,1.0017,0.9905,0.2747,0.2902,0.2916,0.3056,1.0045,0.1692,0.1945,0.1073,0.1777,0.1805,-0.0263,0.0877,0.242727,1.2298,0.507867,-0.001694,-0.002654,0.002757,0.999991,0.243891,1.115829,0.452758,0.005846,-0.002786,0.003734,0.999972,0.257875,0.813725,0.531825,0.01324,0.001277,0.013093,0.999826
0.43932557,2.0,2.0,0.0,2.0,1.0214,1.0355,1.0017,0.9905,0.2747,0.2902,0.2916,0.3056,1.0045,0.1692,0.1945,0.1073,0.1777,0.1805,-0.0263,0.0877,0.242729,1.2298,0.507869,-0.001696,-0.002655,0.002753,0.999991,0.24389,1.115827,0.452753,0.005845,-0.002774,0.003698,0.999972,0.257879,0.813727,0.531825,0.013241,0.001272,0.0131,0.999826
0.44968057,2.0,2.0,0.0,2.0,1.0214,1.0355,1.0017,0.9905,0.2747,0.2902,0.2916,0.3056,1.0045,0.1692,0.1945,0.1073,0.1777,0.1805,-0.0263,0.0877,0.242729,1.2298,0.507869,-0.001696,-0.002655,0.002753,0.999991,0.24389,1.115827,0.452753,0.005845,-0.002774,0.003698,0.999972,0.257879,0.813727,0.531825,0.013241,0.001272,0.0131,0.999826
0.46114016,2.0,2.0,0.0,2.0,1.0214,1.0355,1.0017,0.9905,0.2747,0.2902,0.2916,0.3056,1.0045,0.1692,0.1945,0.1073,0.1777,0.1805,-0.0263,0.0877,0.242728,1.2298,0.507868,-0.001693,-0.002656,0.002757,0.999991,0.24389,1.115827,0.452756,0.005856,-0.002767,0.003716,0.999972,0.257877,0.813725,0.531824,0.013239,0.001274,0.013091,0.999826
