step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
317342,0.019343,0.0000,0.0000,4.3345,4.8323,-0.0727,-0.0459,0.3970,0.3900,0.3970,0.4041
317343,0.036055,0.0000,0.0000,4.3345,4.8323,-0.0727,-0.0459,0.3970,0.3900,0.3970,0.4041
317344,0.048364,0.0000,0.0000,4.3317,4.8338,-0.0741,-0.0459,0.3872,0.3970,0.3998,0.3998
317345,0.075326,0.0000,0.0000,4.3317,4.8338,-0.0741,-0.0459,0.3872,0.3970,0.3998,0.3998
317346,0.093093,0.0000,0.0000,4.3317,4.8338,-0.0741,-0.0459,0.3872,0.3970,0.3998,0.3998
317347,0.111240,0.0000,0.0000,4.3317,4.8338,-0.0741,-0.0459,0.3872,0.3970,0.3998,0.3998
317348,0.123413,0.0000,0.0004,4.3331,4.8338,-0.0755,-0.0488,0.3830,0.3886,0.3858,0.3731
317349,0.133533,0.0000,0.0004,4.3331,4.8338,-0.0755,-0.0488,0.3830,0.3886,0.3858,0.3731
317350,0.143673,0.0000,0.0004,4.3331,4.8338,-0.0755,-0.0488,0.3830,0.3886,0.3858,0.3731
317351,0.153831,0.0000,0.0004,4.3331,4.8338,-0.0755,-0.0488,0.3830,0.3886,0.3858,0.3731
317352,0.163983,0.0000,0.0004,4.3331,4.8338,-0.0755,-0.0488,0.3830,0.3886,0.3858,0.3731
317353,0.174120,0.0000,0.0018,4.3331,4.8352,-0.0755,-0.0488,0.3984,0.3900,0.4083,0.3942
317354,0.184270,0.0000,0.0018,4.3331,4.8352,-0.0755,-0.0488,0.3984,0.3900,0.4083,0.3942
317355,0.194427,0.0000,0.0018,4.3331,4.8352,-0.0755,-0.0488,0.3984,0.3900,0.4083,0.3942
317356,0.204576,0.0000,0.0018,4.3331,4.8352,-0.0755,-0.0488,0.3984,0.3900,0.4083,0.3942
317357,0.214734,0.0000,0.0018,4.3331,4.8352,-0.0755,-0.0488,0.3984,0.3900,0.4083,0.3942
317358,0.224864,0.0000,0.0034,4.3289,4.8380,-0.0741,-0.0488,0.3942,0.3844,0.3970,0.4012
317359,0.234979,0.0000,0.0034,4.3289,4.8380,-0.0741,-0.0488,0.3942,0.3844,0.3970,0.4012
