step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
175404,0.018865,0.0000,0.0000,4.3388,4.8338,-0.0741,-0.0375,0.4027,0.3914,0.4012,0.4041
175405,0.037061,0.0000,0.0000,4.3388,4.8338,-0.0741,-0.0375,0.4027,0.3914,0.4012,0.4041
175406,0.047555,0.0000,0.0000,4.3388,4.8338,-0.0741,-0.0375,0.4027,0.3914,0.4012,0.4041
175407,0.074486,0.0000,0.0000,4.3388,4.8338,-0.0741,-0.0375,0.4027,0.3914,0.4012,0.4041
175408,0.090397,0.0000,0.0094,4.3402,4.8323,-0.0741,-0.0375,0.3928,0.3900,0.3942,0.3942
175409,0.107024,0.0000,0.0094,4.3402,4.8323,-0.0741,-0.0375,0.3928,0.3900,0.3942,0.3942
175410,0.117692,0.0000,0.0094,4.3402,4.8323,-0.0741,-0.0375,0.3928,0.3900,0.3942,0.3942
175411,0.127881,0.0000,0.0094,4.3402,4.8323,-0.0741,-0.0375,0.3928,0.3900,0.3942,0.3942
175412,0.138127,0.0000,0.0451,4.3388,4.8323,-0.0727,-0.0403,0.3886,0.3984,0.3886,0.3928
175413,0.148286,0.0000,0.0451,4.3388,4.8323,-0.0727,-0.0403,0.3886,0.3984,0.3886,0.3928
175414,0.158505,0.0000,0.0451,4.3388,4.8323,-0.0727,-0.0403,0.3886,0.3984,0.3886,0.3928
175415,0.168718,0.0000,0.0451,4.3388,4.8323,-0.0727,-0.0403,0.3886,0.3984,0.3886,0.3928
175416,0.178934,0.0000,0.0451,4.3388,4.8323,-0.0727,-0.0403,0.3886,0.3984,0.3886,0.3928
175417,0.189060,0.0000,0.0721,4.3388,4.8352,-0.0698,-0.0473,0.3886,0.3998,0.4069,0.4041
175418,0.199205,0.0000,0.0721,4.3388,4.8352,-0.0698,-0.0473,0.3886,0.3998,0.4069,0.4041
175419,0.209443,0.0000,0.0721,4.3388,4.8352,-0.0698,-0.0473,0.3886,0.3998,0.4069,0.4041
175420,0.219691,0.0000,0.0721,4.3388,4.8352,-0.0698,-0.0473,0.3886,0.3998,0.4069,0.4041
175421,0.229884,0.0000,0.0721,4.3388,4.8352,-0.0698,-0.0473,0.3886,0.3998,0.4069,0.4041
175422,0.240111,0.0000,0.0980,4.3402,4.8352,-0.0727,-0.0473,0.3942,0.3956,0.3998,0.4055
175423,0.257274,0.0000,0.0980,4.3402,4.8352,-0.0727,-0.0473,0.3942,0.3956,0.3998,0.4055
175424,0.272494,0.0000,0.0980,4.3402,4.8352,-0.0727,-0.0473,0.3942,0.3956,0.3998,0.4055
175425,0.283001,0.0000,0.0980,4.3402,4.8352,-0.0727,-0.0473,0.3942,0.3956,0.3998,0.4055
175426,0.298199,0.0000,0.0980,4.3402,4.8352,-0.0727,-0.0473,0.3942,0.3956,0.3998,0.4055
175427,0.317255,0.0000,0.1284,4.3402,4.8323,-0.0755,-0.0459,0.3928,0.3858,0.4041,0.3970
175428,0.334699,0.0000,0.1284,4.3402,4.8323,-0.0755,-0.0459,0.3928,0.3858,0.4041,0.3970
175429,0.345814,0.0000,0.1284,4.3402,4.8323,-0.0755,-0.0459,0.3928,0.3858,0.4041,0.3970
175430,0.355989,0.0000,0.1284,4.3402,4.8323,-0.0755,-0.0459,0.3928,0.3858,0.4041,0.3970
175431,0.366170,0.0000,0.1598,4.3373,4.8366,-0.0741,-0.0459,0.3928,0.3942,0.3998,0.3900
175432,0.376333,0.0000,0.1598,4.3373,4.8366,-0.0741,-0.0459,0.3928,0.3942,0.3998,0.3900
175433,0.386463,0.0000,0.1598,4.3373,4.8366,-0.0741,-0.0459,0.3928,0.3942,0.3998,0.3900
175434,0.396585,0.0000,0.1598,4.3373,4.8366,-0.0741,-0.0459,0.3928,0.3942,0.3998,0.3900
175435,0.406759,0.0000,0.1598,4.3373,4.8366,-0.0741,-0.0459,0.3928,0.3942,0.3998,0.3900
175436,0.416989,0.0000,0.1857,4.3416,4.8352,-0.0741,-0.0389,0.3942,0.3914,0.3998,0.4069
175437,0.427234,0.0000,0.1857,4.3416,4.8352,-0.0741,-0.0389,0.3942,0.3914,0.3998,0.4069
175438,0.437499,0.0000,0.1857,4.3416,4.8352,-0.0741,-0.0389,0.3942,0.3914,0.3998,0.4069
175439,0.447780,0.0000,0.1857,4.3416,4.8352,-0.0741,-0.0389,0.3942,0.3914,0.3998,0.4069
175440,0.458055,0.0000,0.1857,4.3416,4.8352,-0.0741,-0.0389,0.3942,0.3914,0.3998,0.4069
175441,0.468362,0.0000,0.2115,4.3373,4.8380,-0.0712,-0.0389,0.3942,0.3998,0.3984,0.4069
175442,0.485817,0.0000,0.2115,4.3373,4.8380,-0.0712,-0.0389,0.3942,0.3998,0.3984,0.4069
175443,0.501016,0.0000,0.2115,4.3373,4.8380,-0.0712,-0.0389,0.3942,0.3998,0.3984,0.4069
175444,0.516248,0.0000,0.2115,4.3373,4.8380,-0.0712,-0.0389,0.3942,0.3998,0.3984,0.4069
175445,0.526386,0.0000,0.2115,4.3373,4.8380,-0.0712,-0.0389,0.3942,0.3998,0.3984,0.4069
175446,0.541634,0.0000,0.2427,4.3402,4.8338,-0.0741,-0.0389,0.3928,0.3900,0.3970,0.3928
175447,0.552484,0.0000,0.2427,4.3402,4.8338,-0.0741,-0.0389,0.3928,0.3900,0.3970,0.3928
175448,0.566644,0.0000,0.2427,4.3402,4.8338,-0.0741,-0.0389,0.3928,0.3900,0.3970,0.3928
175449,0.576776,0.0000,0.2427,4.3402,4.8338,-0.0741,-0.0389,0.3928,0.3900,0.3970,0.3928
175450,0.588171,0.0000,0.2427,4.3402,4.8338,-0.0741,-0.0389,0.3928,0.3900,0.3970,0.3928
175451,0.599114,0.0000,0.2707,4.3402,4.8309,-0.0741,-0.0389,0.3914,0.3998,0.4012,0.3956
175452,0.609278,0.0000,0.2707,4.3402,4.8309,-0.0741,-0.0389,0.3914,0.3998,0.4012,0.3956
175453,0.619450,0.0000,0.2707,4.3402,4.8309,-0.0741,-0.0389,0.3914,0.3998,0.4012,0.3956
175454,0.629677,0.0000,0.2707,4.3402,4.8309,-0.0741,-0.0389,0.3914,0.3998,0.4012,0.3956
175455,0.639881,0.0000,0.2707,4.3402,4.8309,-0.0741,-0.0389,0.3914,0.3998,0.4012,0.3956
175456,0.650062,0.0000,0.3008,4.3402,4.8352,-0.0755,-0.0389,0.4027,0.3942,0.4069,0.3984
175457,0.660290,0.0000,0.3008,4.3402,4.8352,-0.0755,-0.0389,0.4027,0.3942,0.4069,0.3984
175458,0.670474,0.0000,0.3008,4.3402,4.8352,-0.0755,-0.0389,0.4027,0.3942,0.4069,0.3984
175459,0.680669,0.0000,0.3008,4.3402,4.8352,-0.0755,-0.0389,0.4027,0.3942,0.4069,0.3984
175460,0.690913,0.0000,0.3008,4.3402,4.8352,-0.0755,-0.0389,0.4027,0.3942,0.4069,0.3984
175461,0.701072,0.0000,0.3268,4.3416,4.8338,-0.0727,-0.0375,0.3984,0.3942,0.4027,0.3956
175462,0.711301,0.0000,0.3268,4.3416,4.8338,-0.0727,-0.0375,0.3984,0.3942,0.4027,0.3956
