step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
0,0.001658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.017955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.036345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.053012,0.0000,0.0000,4.2277,-0.0783,-0.0727,-0.0698,0.3619,0.3787,0.3745,0.3970
4,0.063515,0.0000,0.0000,4.2277,-0.0783,-0.0727,-0.0698,0.3619,0.3787,0.3745,0.3970
5,0.075859,0.0000,0.0000,4.2277,-0.0783,-0.0727,-0.0698,0.3619,0.3787,0.3745,0.3970
6,0.092425,0.0000,0.0000,4.2277,-0.0783,-0.0727,-0.0698,0.3619,0.3787,0.3745,0.3970
7,0.102794,0.0000,0.0000,4.2277,-0.0783,-0.0727,-0.0698,0.3619,0.3787,0.3745,0.3970
8,0.113200,0.0000,0.0000,4.2277,-0.0783,-0.0727,-0.0698,0.3619,0.3787,0.3745,0.3970
9,0.123830,0.0000,0.0629,4.2291,-0.0769,-0.0741,-0.0741,0.4083,0.4111,0.4167,0.4041
10,0.139578,0.0000,0.0629,4.2291,-0.0769,-0.0741,-0.0741,0.4083,0.4111,0.4167,0.4041
11,0.154838,0.0000,0.0629,4.2291,-0.0769,-0.0741,-0.0741,0.4083,0.4111,0.4167,0.4041
12,0.165213,0.0000,0.0629,4.2291,-0.0769,-0.0741,-0.0741,0.4083,0.4111,0.4167,0.4041
13,0.176154,0.0000,0.0629,4.2291,-0.0769,-0.0741,-0.0741,0.4083,0.4111,0.4167,0.4041
14,0.187245,0.0000,0.1327,4.2277,-0.0755,-0.0741,-0.0741,0.4027,0.4083,0.4097,0.4125
15,0.201563,0.0000,0.1327,4.2277,-0.0755,-0.0741,-0.0741,0.4027,0.4083,0.4097,0.4125
16,0.211709,0.0000,0.1327,4.2277,-0.0755,-0.0741,-0.0741,0.4027,0.4083,0.4097,0.4125
17,0.222664,0.0000,0.1327,4.2277,-0.0755,-0.0741,-0.0741,0.4027,0.4083,0.4097,0.4125
18,0.233158,0.0000,0.1327,4.2277,-0.0755,-0.0741,-0.0741,0.4027,0.4083,0.4097,0.4125
19,0.243890,0.0000,0.1866,4.2248,-0.0783,-0.0741,-0.0727,0.4012,0.3984,0.4181,0.4041
20,0.254705,0.0000,0.1866,4.2248,-0.0783,-0.0741,-0.0727,0.4012,0.3984,0.4181,0.4041
21,0.265225,0.0000,0.1866,4.2248,-0.0783,-0.0741,-0.0727,0.4012,0.3984,0.4181,0.4041
22,0.276825,0.0000,0.1866,4.2248,-0.0783,-0.0741,-0.0727,0.4012,0.3984,0.4181,0.4041
23,0.287556,0.0000,0.1866,4.2248,-0.0783,-0.0741,-0.0727,0.4012,0.3984,0.4181,0.4041
24,0.299323,0.0000,0.2461,4.2263,-0.0769,-0.0727,-0.0712,0.4083,0.4041,0.4181,0.4181
25,0.309493,0.0000,0.2461,4.2263,-0.0769,-0.0727,-0.0712,0.4083,0.4041,0.4181,0.4181
26,0.319664,0.0000,0.2461,4.2263,-0.0769,-0.0727,-0.0712,0.4083,0.4041,0.4181,0.4181
27,0.329812,0.0000,0.2461,4.2263,-0.0769,-0.0727,-0.0712,0.4083,0.4041,0.4181,0.4181
28,0.339978,0.0000,0.2461,4.2263,-0.0769,-0.0727,-0.0712,0.4083,0.4041,0.4181,0.4181
29,0.350148,0.0000,0.3003,4.2263,-0.0783,-0.0741,-0.0712,0.4041,0.4069,0.3984,0.4181
30,0.360323,0.0000,0.3003,4.2263,-0.0783,-0.0741,-0.0712,0.4041,0.4069,0.3984,0.4181
31,0.375660,0.0000,0.3003,4.2263,-0.0783,-0.0741,-0.0712,0.4041,0.4069,0.3984,0.4181
32,0.391809,0.0000,0.3003,4.2263,-0.0783,-0.0741,-0.0712,0.4041,0.4069,0.3984,0.4181
33,0.402043,0.0000,0.3545,4.2277,-0.0783,-0.0727,-0.0741,0.4083,0.4097,0.4153,0.4125
34,0.417300,0.0000,0.3545,4.2277,-0.0783,-0.0727,-0.0741,0.4083,0.4097,0.4153,0.4125
35,0.434290,0.0000,0.3545,4.2277,-0.0783,-0.0727,-0.0741,0.4083,0.4097,0.4153,0.4125
36,0.449583,0.0000,0.3545,4.2277,-0.0783,-0.0727,-0.0741,0.4083,0.4097,0.4153,0.4125
37,0.463362,0.0000,0.3545,4.2277,-0.0783,-0.0727,-0.0741,0.4083,0.4097,0.4153,0.4125
38,0.478718,0.0000,0.4167,4.2277,-0.0797,-0.0727,-0.0741,0.4055,0.4041,0.4097,0.4139
39,0.489189,0.0000,0.4167,4.2277,-0.0797,-0.0727,-0.0741,0.4055,0.4041,0.4097,0.4139
40,0.504586,0.0000,0.4167,4.2277,-0.0797,-0.0727,-0.0741,0.4055,0.4041,0.4097,0.4139
41,0.514742,0.0000,0.4167,4.2277,-0.0797,-0.0727,-0.0741,0.4055,0.4041,0.4097,0.4139
42,0.526095,0.0000,0.4167,4.2277,-0.0797,-0.0727,-0.0741,0.4055,0.4041,0.4097,0.4139
43,0.537038,0.0000,0.4167,4.2277,-0.0797,-0.0727,-0.0741,0.4055,0.4041,0.4097,0.4139
44,0.559332,0.0000,0.4847,4.2263,-0.0783,-0.0741,-0.0727,0.3970,0.4041,0.4069,0.4055
45,0.574809,0.0000,0.4847,4.2263,-0.0783,-0.0741,-0.0727,0.3970,0.4041,0.4069,0.4055
46,0.586082,0.0000,0.4847,4.2263,-0.0783,-0.0741,-0.0727,0.3970,0.4041,0.4069,0.4055
47,0.597368,0.0000,0.4847,4.2263,-0.0783,-0.0741,-0.0727,0.3970,0.4041,0.4069,0.4055
48,0.614671,0.0000,0.5576,4.2263,-0.0797,-0.0727,-0.0698,0.3998,0.3970,0.4111,0.3900
