time,col0_lv0,col0_lv1,col0_lv2,col0_lv3,col0_lv4,col1_lv0,col1_lv1,col1_lv2,col1_lv3,col1_lv4,col2_lv0,col2_lv1,col2_lv2,col2_lv3,col2_lv4,col3_lv0,col3_lv1,col3_lv2,col3_lv3,col3_lv4
0.010000,3.2000,3.2000,3.2000,3.2000,3.2000,1.7000,1.7000,1.7000,1.7000,1.7000,3.2000,3.2000,3.2000,3.2000,3.2000,4.7000,4.7000,4.7000,4.7000,4.7000
0.020000,3.1623,3.1623,3.1623,3.1623,3.1623,1.7005,1.7005,1.7005,1.7005,1.7005,3.2377,3.2377,3.2377,3.2377,3.2377,4.6995,4.6995,4.6995,4.6995,4.6995
0.030000,3.1246,3.1246,3.1246,3.1246,3.1246,1.7019,1.7019,1.7019,1.7019,1.7019,3.2754,3.2754,3.2754,3.2754,3.2754,4.6981,4.6981,4.6981,4.6981,4.6981
0.040000,3.0870,3.0870,3.0870,3.0870,3.0870,1.7043,1.7043,1.7043,1.7043,1.7043,3.3130,3.3130,3.3130,3.3130,3.3130,4.6957,4.6957,4.6957,4.6957,4.6957
0.050000,3.0495,3.0495,3.0495,3.0495,3.0495,1.7076,1.7076,1.7076,1.7076,1.7076,3.3505,3.3505,3.3505,3.3505,3.3505,4.6924,4.6924,4.6924,4.6924,4.6924
0.060000,3.0120,3.0120,3.0120,3.0120,3.0120,1.7118,1.7118,1.7118,1.7118,1.7118,3.3880,3.3880,3.3880,3.3880,3.3880,4.6882,4.6882,4.6882,4.6882,4.6882
0.070000,2.9747,2.9747,2.9747,2.9747,2.9747,1.7170,1.7170,1.7170,1.7170,1.7170,3.4253,3.4253,3.4253,3.4253,3.4253,4.6830,4.6830,4.6830,4.6830,4.6830
0.080000,2.9375,2.9375,2.9375,2.9375,2.9375,1.7232,1.7232,1.7232,1.7232,1.7232,3.4625,3.4625,3.4625,3.4625,3.4625,4.6768,4.6768,4.6768,4.6768,4.6768
0.090000,2.9004,2.9004,2.9004,2.9004,2.9004,1.7302,1.7302,1.7302,1.7302,1.7302,3.4996,3.4996,3.4996,3.4996,3.4996,4.6698,4.6698,4.6698,4.6698,4.6698
0.100000,2.8636,2.8636,2.8636,2.8636,2.8636,1.7382,1.7382,1.7382,1.7382,1.7382,3.5364,3.5364,3.5364,3.5364,3.5364,4.6618,4.6618,4.6618,4.6618,4.6618
0.110000,2.8270,2.8270,2.8270,2.8270,2.8270,1.7471,1.7471,1.7471,1.7471,1.7471,3.5730,3.5730,3.5730,3.5730,3.5730,4.6529,4.6529,4.6529,4.6529,4.6529
0.120000,2.7906,2.7906,2.7906,2.7906,2.7906,1.7570,1.7570,1.7570,1.7570,1.7570,3.6094,3.6094,3.6094,3.6094,3.6094,4.6430,4.6430,4.6430,4.6430,4.6430
0.130000,2.7544,2.7544,2.7544,2.7544,2.7544,1.7677,1.7677,1.7677,1.7677,1.7677,3.6456,3.6456,3.6456,3.6456,3.6456,4.6323,4.6323,4.6323,4.6323,4.6323
0.140000,2.7186,2.7186,2.7186,2.7186,2.7186,1.7794,1.7794,1.7794,1.7794,1.7794,3.6814,3.6814,3.6814,3.6814,3.6814,4.6206,4.6206,4.6206,4.6206,4.6206
0.150000,2.6830,2.6830,2.6830,2.6830,2.6830,1.7919,1.7919,1.7919,1.7919,1.7919,3.7170,3.7170,3.7170,3.7170,3.7170,4.6081,4.6081,4.6081,4.6081,4.6081
