time,col0_lv0,col0_lv1,col0_lv2,col0_lv3,col0_lv4,col1_lv0,col1_lv1,col1_lv2,col1_lv3,col1_lv4,col2_lv0,col2_lv1,col2_lv2,col2_lv3,col2_lv4,col3_lv0,col3_lv1,col3_lv2,col3_lv3,col3_lv4
0.010000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,3.7000,3.7000,3.7000,3.7000,3.7000
0.020000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5076,1.5076,1.5076,1.5076,1.5076,3.6868,3.6868,3.6868,3.6868,3.6868
0.030000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5152,1.5152,1.5152,1.5152,1.5152,3.6736,3.6736,3.6736,3.6736,3.6736
0.040000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5229,1.5229,1.5229,1.5229,1.5229,3.6604,3.6604,3.6604,3.6604,3.6604
0.050000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5305,1.5305,1.5305,1.5305,1.5305,3.6472,3.6472,3.6472,3.6472,3.6472
0.060000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5381,1.5381,1.5381,1.5381,1.5381,3.6340,3.6340,3.6340,3.6340,3.6340
0.070000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5457,1.5457,1.5457,1.5457,1.5457,3.6208,3.6208,3.6208,3.6208,3.6208
0.080000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5533,1.5533,1.5533,1.5533,1.5533,3.6076,3.6076,3.6076,3.6076,3.6076
0.090000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5610,1.5610,1.5610,1.5610,1.5610,3.5944,3.5944,3.5944,3.5944,3.5944
0.100000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5686,1.5686,1.5686,1.5686,1.5686,3.5812,3.5812,3.5812,3.5812,3.5812
0.110000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5762,1.5762,1.5762,1.5762,1.5762,3.5680,3.5680,3.5680,3.5680,3.5680
0.120000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5838,1.5838,1.5838,1.5838,1.5838,3.5548,3.5548,3.5548,3.5548,3.5548
0.130000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5915,1.5915,1.5915,1.5915,1.5915,3.5416,3.5416,3.5416,3.5416,3.5416
0.140000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5991,1.5991,1.5991,1.5991,1.5991,3.5284,3.5284,3.5284,3.5284,3.5284
0.150000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6067,1.6067,1.6067,1.6067,1.6067,3.5152,3.5152,3.5152,3.5152,3.5152
0.160000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6143,1.6143,1.6143,1.6143,1.6143,3.5020,3.5020,3.5020,3.5020,3.5020
0.170000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6219,1.6219,1.6219,1.6219,1.6219,3.4888,3.4888,3.4888,3.4888,3.4888
0.180000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6296,1.6296,1.6296,1.6296,1.6296,3.4756,3.4756,3.4756,3.4756,3.4756
0.190000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6372,1.6372,1.6372,1.6372,1.6372,3.4624,3.4624,3.4624,3.4624,3.4624
0.200000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6448,1.6448,1.6448,1.6448,1.6448,3.4492,3.4492,3.4492,3.4492,3.4492
0.210000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6524,1.6524,1.6524,1.6524,1.6524,3.4360,3.4360,3.4360,3.4360,3.4360
0.220000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6600,1.6600,1.6600,1.6600,1.6600,3.4228,3.4228,3.4228,3.4228,3.4228
0.230000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6677,1.6677,1.6677,1.6677,1.6677,3.4096,3.4096,3.4096,3.4096,3.4096
0.240000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6753,1.6753,1.6753,1.6753,1.6753,3.3964,3.3964,3.3964,3.3964,3.3964
0.250000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6829,1.6829,1.6829,1.6829,1.6829,3.3832,3.3832,3.3832,3.3832,3.3832
0.260000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6905,1.6905,1.6905,1.6905,1.6905,3.3700,3.3700,3.3700,3.3700,3.3700
0.270000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.6981,1.6981,1.6981,1.6981,1.6981,3.3568,3.3568,3.3568,3.3568,3.3568
0.280000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7058,1.7058,1.7058,1.7058,1.7058,3.3436,3.3436,3.3436,3.3436,3.3436
0.290000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7134,1.7134,1.7134,1.7134,1.7134,3.3304,3.3304,3.3304,3.3304,3.3304
0.300000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7210,1.7210,1.7210,1.7210,1.7210,3.3172,3.3172,3.3172,3.3172,3.3172
0.310000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7286,1.7286,1.7286,1.7286,1.7286,3.3040,3.3040,3.3040,3.3040,3.3040
0.320000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7363,1.7363,1.7363,1.7363,1.7363,3.2908,3.2908,3.2908,3.2908,3.2908
0.330000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7439,1.7439,1.7439,1.7439,1.7439,3.2776,3.2776,3.2776,3.2776,3.2776
0.340000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7515,1.7515,1.7515,1.7515,1.7515,3.2644,3.2644,3.2644,3.2644,3.2644
0.350000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7591,1.7591,1.7591,1.7591,1.7591,3.2512,3.2512,3.2512,3.2512,3.2512
0.360000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7667,1.7667,1.7667,1.7667,1.7667,3.2380,3.2380,3.2380,3.2380,3.2380
0.370000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7744,1.7744,1.7744,1.7744,1.7744,3.2248,3.2248,3.2248,3.2248,3.2248
0.380000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7820,1.7820,1.7820,1.7820,1.7820,3.2116,3.2116,3.2116,3.2116,3.2116
0.390000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7896,1.7896,1.7896,1.7896,1.7896,3.1984,3.1984,3.1984,3.1984,3.1984
0.400000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.7972,1.7972,1.7972,1.7972,1.7972,3.1852,3.1852,3.1852,3.1852,3.1852
0.410000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8048,1.8048,1.8048,1.8048,1.8048,3.1720,3.1720,3.1720,3.1720,3.1720
0.420000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8125,1.8125,1.8125,1.8125,1.8125,3.1588,3.1588,3.1588,3.1588,3.1588
0.430000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8201,1.8201,1.8201,1.8201,1.8201,3.1456,3.1456,3.1456,3.1456,3.1456
0.440000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8277,1.8277,1.8277,1.8277,1.8277,3.1324,3.1324,3.1324,3.1324,3.1324
0.450000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8353,1.8353,1.8353,1.8353,1.8353,3.1192,3.1192,3.1192,3.1192,3.1192
0.460000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8429,1.8429,1.8429,1.8429,1.8429,3.1060,3.1060,3.1060,3.1060,3.1060
0.470000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8506,1.8506,1.8506,1.8506,1.8506,3.0928,3.0928,3.0928,3.0928,3.0928
0.480000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8582,1.8582,1.8582,1.8582,1.8582,3.0796,3.0796,3.0796,3.0796,3.0796
0.490000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8658,1.8658,1.8658,1.8658,1.8658,3.0664,3.0664,3.0664,3.0664,3.0664
0.500000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8734,1.8734,1.8734,1.8734,1.8734,3.0532,3.0532,3.0532,3.0532,3.0532
0.510000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8811,1.8811,1.8811,1.8811,1.8811,3.0400,3.0400,3.0400,3.0400,3.0400
0.520000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8887,1.8887,1.8887,1.8887,1.8887,3.0268,3.0268,3.0268,3.0268,3.0268
0.530000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.8963,1.8963,1.8963,1.8963,1.8963,3.0136,3.0136,3.0136,3.0136,3.0136
0.540000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9039,1.9039,1.9039,1.9039,1.9039,3.0004,3.0004,3.0004,3.0004,3.0004
0.550000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9115,1.9115,1.9115,1.9115,1.9115,2.9872,2.9872,2.9872,2.9872,2.9872
0.560000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9192,1.9192,1.9192,1.9192,1.9192,2.9740,2.9740,2.9740,2.9740,2.9740
0.570000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9268,1.9268,1.9268,1.9268,1.9268,2.9608,2.9608,2.9608,2.9608,2.9608
0.580000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9344,1.9344,1.9344,1.9344,1.9344,2.9476,2.9476,2.9476,2.9476,2.9476
0.590000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9420,1.9420,1.9420,1.9420,1.9420,2.9344,2.9344,2.9344,2.9344,2.9344
0.600000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9496,1.9496,1.9496,1.9496,1.9496,2.9212,2.9212,2.9212,2.9212,2.9212
0.610000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9573,1.9573,1.9573,1.9573,1.9573,2.9080,2.9080,2.9080,2.9080,2.9080
0.620000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9649,1.9649,1.9649,1.9649,1.9649,2.8948,2.8948,2.8948,2.8948,2.8948
0.630000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9725,1.9725,1.9725,1.9725,1.9725,2.8816,2.8816,2.8816,2.8816,2.8816
0.640000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9801,1.9801,1.9801,1.9801,1.9801,2.8684,2.8684,2.8684,2.8684,2.8684
0.650000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9877,1.9877,1.9877,1.9877,1.9877,2.8552,2.8552,2.8552,2.8552,2.8552
0.660000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.9954,1.9954,1.9954,1.9954,1.9954,2.8420,2.8420,2.8420,2.8420,2.8420
0.670000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0030,2.0030,2.0030,2.0030,2.0030,2.8288,2.8288,2.8288,2.8288,2.8288
0.680000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0106,2.0106,2.0106,2.0106,2.0106,2.8156,2.8156,2.8156,2.8156,2.8156
0.690000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0182,2.0182,2.0182,2.0182,2.0182,2.8024,2.8024,2.8024,2.8024,2.8024
0.700000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0259,2.0259,2.0259,2.0259,2.0259,2.7892,2.7892,2.7892,2.7892,2.7892
0.710000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0335,2.0335,2.0335,2.0335,2.0335,2.7760,2.7760,2.7760,2.7760,2.7760
0.720000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0411,2.0411,2.0411,2.0411,2.0411,2.7628,2.7628,2.7628,2.7628,2.7628
0.730000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0487,2.0487,2.0487,2.0487,2.0487,2.7496,2.7496,2.7496,2.7496,2.7496
0.740000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0563,2.0563,2.0563,2.0563,2.0563,2.7364,2.7364,2.7364,2.7364,2.7364
0.750000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0640,2.0640,2.0640,2.0640,2.0640,2.7232,2.7232,2.7232,2.7232,2.7232
0.760000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0716,2.0716,2.0716,2.0716,2.0716,2.7100,2.7100,2.7100,2.7100,2.7100
0.770000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0792,2.0792,2.0792,2.0792,2.0792,2.6968,2.6968,2.6968,2.6968,2.6968
0.780000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0868,2.0868,2.0868,2.0868,2.0868,2.6836,2.6836,2.6836,2.6836,2.6836
0.790000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.0944,2.0944,2.0944,2.0944,2.0944,2.6704,2.6704,2.6704,2.6704,2.6704
0.800000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1021,2.1021,2.1021,2.1021,2.1021,2.6572,2.6572,2.6572,2.6572,2.6572
0.810000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1097,2.1097,2.1097,2.1097,2.1097,2.6440,2.6440,2.6440,2.6440,2.6440
0.820000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1173,2.1173,2.1173,2.1173,2.1173,2.6308,2.6308,2.6308,2.6308,2.6308
0.830000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1249,2.1249,2.1249,2.1249,2.1249,2.6176,2.6176,2.6176,2.6176,2.6176
0.840000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1325,2.1325,2.1325,2.1325,2.1325,2.6044,2.6044,2.6044,2.6044,2.6044
0.850000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1402,2.1402,2.1402,2.1402,2.1402,2.5912,2.5912,2.5912,2.5912,2.5912
0.860000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1478,2.1478,2.1478,2.1478,2.1478,2.5780,2.5780,2.5780,2.5780,2.5780
0.870000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1554,2.1554,2.1554,2.1554,2.1554,2.5648,2.5648,2.5648,2.5648,2.5648
0.880000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1630,2.1630,2.1630,2.1630,2.1630,2.5516,2.5516,2.5516,2.5516,2.5516
0.890000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1707,2.1707,2.1707,2.1707,2.1707,2.5384,2.5384,2.5384,2.5384,2.5384
0.900000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1783,2.1783,2.1783,2.1783,2.1783,2.5252,2.5252,2.5252,2.5252,2.5252
0.910000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1859,2.1859,2.1859,2.1859,2.1859,2.5120,2.5120,2.5120,2.5120,2.5120
0.920000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.1935,2.1935,2.1935,2.1935,2.1935,2.4988,2.4988,2.4988,2.4988,2.4988
0.930000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2011,2.2011,2.2011,2.2011,2.2011,2.4856,2.4856,2.4856,2.4856,2.4856
0.940000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2088,2.2088,2.2088,2.2088,2.2088,2.4724,2.4724,2.4724,2.4724,2.4724
0.950000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2164,2.2164,2.2164,2.2164,2.2164,2.4592,2.4592,2.4592,2.4592,2.4592
0.960000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2240,2.2240,2.2240,2.2240,2.2240,2.4460,2.4460,2.4460,2.4460,2.4460
0.970000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2316,2.2316,2.2316,2.2316,2.2316,2.4328,2.4328,2.4328,2.4328,2.4328
0.980000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2392,2.2392,2.2392,2.2392,2.2392,2.4196,2.4196,2.4196,2.4196,2.4196
0.990000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2469,2.2469,2.2469,2.2469,2.2469,2.4064,2.4064,2.4064,2.4064,2.4064
1.000000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2545,2.2545,2.2545,2.2545,2.2545,2.3932,2.3932,2.3932,2.3932,2.3932
1.010000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2621,2.2621,2.2621,2.2621,2.2621,2.3800,2.3800,2.3800,2.3800,2.3800
1.020000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2697,2.2697,2.2697,2.2697,2.2697,2.3668,2.3668,2.3668,2.3668,2.3668
1.030000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2773,2.2773,2.2773,2.2773,2.2773,2.3536,2.3536,2.3536,2.3536,2.3536
1.040000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2850,2.2850,2.2850,2.2850,2.2850,2.3404,2.3404,2.3404,2.3404,2.3404
1.050000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,2.2926,2.2926,2.2926,2.2926,2.2926,2.3272,2.3272,2.3272,2.3272,2.3272
