t,phase,p_col0,p_col1,p_col2,p_col3,tip_x,tip_y,tip_z,arm_len
0.0100,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.26757,0.26757
0.0200,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.26629,0.26629
0.0300,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.26441,0.26441
0.0400,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.26219,0.26219
0.0500,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25984,0.25984
0.0600,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25754,0.25754
0.0700,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25541,0.25541
0.0800,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25354,0.25354
0.0900,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25197,0.25197
0.1000,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25074,0.25074
0.1100,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.24982,0.24982
0.1200,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.24920,0.24920
0.1300,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.24885,0.24885
0.1400,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.24872,0.24872
0.1500,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.24876,0.24876
0.1600,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.24892,0.24892
0.1700,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.24917,0.24917
0.1800,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.24947,0.24947
0.1900,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.24979,0.24979
0.2000,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25010,0.25010
0.2100,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25039,0.25039
0.2200,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25063,0.25063
0.2300,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25084,0.25084
0.2400,STATIC_col0_p0,0.0000,0.0000,0.0000,0.0000,-0.00000,0.00000,0.25099,0.25099
